d1	d2	d3	d4	d5	d6
「ケータイ時代」を生きるきみへ	尾木直樹 著	岩波書店, 	岩波ジュニア新書 ; 617	367.6 ｵｷﾞ  新書書架	ISBN: 9784-005006175 RGTN: 43615 受入日: 20090420
シベリア抑留とは何だったのか : 詩人・石原吉郎のみちのり	畑谷史代著	岩波書店, 	岩波ジュニア新書  618	911.5 ﾊﾀ  新書書架	ISBN: 9784-005006182 RGTN: 43616 受入日: 20090420
法ってどんなもの? : ロースクール生と学ぶ	東大大村ゼミ 著、大村敦志 監修	岩波書店, 	岩波ジュニア新書 ; 619	320.4 ﾄｳ  新書書架	ISBN: 9784-005006199 RGTN: 43617 受入日: 20090420
中国の五大小説　〈下〉／水滸伝・金瓶梅・紅楼夢	井波　律子	岩波書店, 	岩波新書　１１２８	923.5 ｲﾅ 下 新書書架	ISBN: 9784-004311287 RGTN: 43618 受入日: 20090420
政権交代論	山口　二郎	岩波書店, 	岩波新書　１１７８	312.1 ﾔﾏ  新書書架	ISBN: 9784-004311782 RGTN: 43619 受入日: 20090420
ドキュメント／アメリカの金権政治	軽部　謙介	岩波書店, 	岩波新書　１１７９	312.5 ｶﾙ  新書書架	ISBN: 9784-004311799 RGTN: 43620 受入日: 20090420
日本の中世を歩く／遺跡を訪ね、史料を読む	五味　文彦	岩波書店, 	岩波新書　１１８０	210.4 ｺﾞﾐ  新書書架	ISBN: 9784-004311805 RGTN: 43621 受入日: 20090420
空襲に追われた被害者たちの戦後 : 東京と重慶消えない記憶	沢田　猛	岩波書店, 	岩波ブックレット　７５０	210.7 ｻﾜ  ブックレット	ISBN: 9784-000094504 RGTN: 43622 受入日: 20090420
学校給食 : 食育の期待と食の不安のはざまで	牧下圭貴著	岩波書店, 	岩波ブックレット  no. 751	374.9 ﾏｷ  ブックレット	ISBN: 9784-000094511 RGTN: 43623 受入日: 20090420
「教員評価」	苅谷剛彦 [ほか] 著	岩波書店, 	岩波ブックレット  no. 752 . 検証地方分権化時代の教育改革|	373.7 ｶﾘ  ブックレット	ISBN: 9784-000094528 RGTN: 43624 受入日: 20090420
自己組織化とは何か : 自分で自分を作り上げる驚異の現象とその応用	都甲潔 江崎秀 林健司 上田哲男 西澤松彦 著	講談社, 	ブルーバックス	460 ﾄｺ  新書書架	ISBN: 9784-062576352 RGTN: 43625 受入日: 20090501
理系のための法律入門／技術者・研究者が知っておきたい権利と責任	井野邊　陽	講談社, 	ＢＬＵＥ　ＢＡＣＫＳ　１６３６	320 ｲﾉ  新書書架	ISBN: 9784-062576369 RGTN: 43626 受入日: 20090501
「人工冬眠」への挑戦／「命の一時停止」の医学応用	市瀬　史	講談社, 	ＢＬＵＥ　ＢＡＣＫＳ　１６３４	492.5 ｲﾁ  新書書架	ISBN: 9784-062576345 RGTN: 43627 受入日: 20090501
アフガニスタンの未来をささえる : 国際機関職員の仕事	石原陽一郎 茅和伊 長岡正哲 石川かおり 著	岩波書店, 	岩波ジュニア新書 ; 620	329.3 ｲｼ  新書書架	ISBN: 9784-005006205 RGTN: 43628 受入日: 20090501
戦争を止めたい : フォトジャーナリストの見る世界	豊田直巳 著	岩波書店, 	岩波ジュニア新書 ; 621	319.8 ﾄﾖ  新書書架	ISBN: 9784-005006212 RGTN: 43629 受入日: 20090501
ルポ雇用劣化不況	竹信三恵子 著	岩波書店, 	岩波新書 ; 新赤版1181	366 ﾀｹ  新書書架	ISBN: 9784-004311812 RGTN: 43630 受入日: 20090501
イスラエル	臼杵　陽	岩波書店, 	岩波新書　１１８２	227.9 ｳｽ  新書書架	ISBN: 9784-004311829 RGTN: 43631 受入日: 20090501
ビジネス・インサイト : 創造の知とは何か	石井淳蔵 著	岩波書店, 	岩波新書 ; 新赤版1183	336.1 ｲｼ  新書書架	ISBN: 9784-004311836 RGTN: 43632 受入日: 20090501
琵琶法師 : 「異界」を語る人びと	兵藤　裕己	岩波書店, 	岩波新書　１１８４	768.3 ﾋｮ  新書書架	ISBN: 9784-004311843 RGTN: 43633 受入日: 20090501
脱「貧困」への政治	雨宮処凛 [ほか] 著	岩波書店, 	岩波ブックレット  no.754	368.2 ｱﾒ  ブックレット	ISBN: 9784-000094542 RGTN: 43634 受入日: 20090501
教員免許更新制を問う	今津孝次郎著	岩波書店, 	岩波ブックレット  no.753	373.7 ｲﾏ  ブックレット	ISBN: 9784-000094535 RGTN: 43635 受入日: 20090501
トレジャー・キャッスル	菊地秀行 著	講談社, 	Mystery land	918.6 ﾐｽ  一般書架	ISBN: 9784-062705851 RGTN: 43636 受入日: 20090507
だいじょうぶ : 鎌田實×水谷修往復書簡	鎌田實 水谷修 著	日本評論社, 		367.6 ｶﾏ  一般書架	ISBN: 9784-535585690 RGTN: 43637 受入日: 20090507
拝啓十五の君へ／アンジェラ・アキと中学生たち	ＮＨＫ全国学校音楽コンクール製作班．編	ポプラ社, 		376.31 ｴ  一般書架	ISBN:  RGTN: 43638 受入日: 20090507
派遣村／国を動かした６日間	年越し派遣村実行委員会．編	毎日新聞社, 		366.8 ﾄ  一般書架	ISBN:  RGTN: 43639 受入日: 20090507
男道／清原和博	清原　和博	幻冬舎, 		783.7 ｷｶ  一般書架	ISBN:  RGTN: 43640 受入日: 20090507
人はいつか死ぬものだから／これからの終末期ケアを考える	ポーリーン・Ｗ・チェン．著／那波　かおり．訳／西村　知樹．監修	河出書房新社, 		490.14 ﾁ  一般書架	ISBN:  RGTN: 43641 受入日: 20090507
心をゆさぶる平和へのメッセージ／なぜ、村上春樹はエルサレム将を射んとせばまず馬を射よ受賞したのか？	大胡田　若葉．編／早川　誓子．翻訳	ゴマブックス, 		319.8 ｵﾜ  一般書架	ISBN:  RGTN: 43642 受入日: 20090507
つみきのいえ	加藤　久仁生．絵／平田　研也．文	白泉社, 	〈絵本〉	726.6 ｶｸ 2 一般書架	ISBN:  RGTN: 43643 受入日: 20090507
分子進化のほぼ中立説 : 偶然と淘汰の進化モデル	太田朋子 著	講談社, 	ブルーバックス ; B-1637	467.2 ｵｵ  新書書架	ISBN: 9784-062576376 RGTN: 43644 受入日: 20090615
プリンキピアを読む : ニュートンはいかにして「万有引力」を証明したのか?	和田純夫 著	講談社, 	ブルーバックス ; B-1638	423 ﾜﾀﾞ  新書書架	ISBN: 9784-062576383 RGTN: 43645 受入日: 20090615
見えない巨大水脈地下水の科学 : 使えばすぐには戻らない「意外な希少資源」	日本地下水学会 井田徹治 著	講談社, 	ブルーバックス ; B-1639	452.9 ﾆﾎ  新書書架	ISBN: 9784-062576390 RGTN: 43646 受入日: 20090615
平和ってなんだろう : 「軍隊をすてた国」コスタリカから考える	足立力也 著	岩波書店, 	岩波ジュニア新書 ; 622	319.8 ｱﾀ  新書書架	ISBN: 9784-005006229 RGTN: 43647 受入日: 20090615
通訳者のしごと	近藤　正臣	岩波書店, 	岩波ジュニア新書　６２３	801.7 ｺﾝ  新書書架	ISBN: 9784-005006236 RGTN: 43648 受入日: 20090615
デジタル社会はなぜ生きにくいか	徳田雄洋 著	岩波書店, 	岩波新書 ; 新赤版1185	007.3 ﾄｸ  新書書架	ISBN: 9784-004311850 RGTN: 43649 受入日: 20090615
名誉毀損 : 表現の自由をめぐる攻防	山田隆司 著	岩波書店, 	岩波新書 ; 新赤版1186	326.2 ﾔﾏ  新書書架	ISBN: 9784-004311867 RGTN: 43650 受入日: 20090615
ミステリーの人間学 : 英国古典探偵小説を読む	廣野由美子著	岩波書店, 	岩波新書  新赤版 1187	930.2 ﾋﾛ  新書書架	ISBN: 9784-004311874 RGTN: 43651 受入日: 20090615
寺よ、変われ	高橋　卓志	岩波書店, 	岩波新書　１１８８	185 ﾀｶ  新書書架	ISBN: 9784-004311881 RGTN: 43652 受入日: 20090615
子どもの声に耳をすませば : 電話でつくる 「心の居場所」	チャイルドライン支援センター編	岩波書店, 	岩波ブックレット  No. 755	369.4 ﾁｬ  ブックレット	ISBN: 9784-000094559 RGTN: 43653 受入日: 20090615
チョコラ！／アフリカの路上にいきる子どもたち	小林　茂．編／勝俣　誠／松下　照美／鈴木　裕之／徳永　瑞子／	岩波書店, 	岩波ブックレット　７５６	367.6 ｺﾊﾞ  ブックレット	ISBN: 9784-000094566 RGTN: 43654 受入日: 20090615
介護情報Ｑ＆Ａ　【第２版】／介護保険を使いこなすために	小竹　雅子	岩波書店, 	岩波ブックレット　７５７	369.2 ｵﾀﾞ  ブックレット	ISBN: 9784-000094573 RGTN: 43655 受入日: 20090615
キャラ化する／される子どもたち／排除型社会における新たな人間像	土井　隆義	岩波書店, 	岩波ブックレット　７５９	367.6 ﾄﾞｲ  ブックレット	ISBN: 9784-000094597 RGTN: 43656 受入日: 20090615
地球温暖化／ほぼすべての質問に答えます！	明日香　壽川	岩波書店, 	岩波ブックレット　７６０	451.3 ｱｽ  ブックレット	ISBN: 9784-000094603 RGTN: 43657 受入日: 20090615
ケプラーの八角星 : 不定方程式の整数解問題	五輪教一 著	講談社, 	ブルーバックス ; B-1640	412.4 ｺﾞﾜ  新書書架	ISBN: 9784-062576406 RGTN: 43658 受入日: 20090708
大人のための新オーディオ観賞術／デジタルとアナログを両立させた新発想	たくき　よしみつ	講談社, 	ＢＬＵＥ　ＢＡＣＫＳ　１６４１	547.3 ﾀｸ  新書書架	ISBN: 9784-062576413 RGTN: 43659 受入日: 20090708
新・物理学事典	大槻義彦 大場一郎 編	講談社, 	ブルーバックス ; B-1642	420.3 ｵｵ  新書書架	ISBN: 9784-062576420 RGTN: 43660 受入日: 20090708
日本の基本問題を考えてみよう	中馬　清福	岩波書店, 	岩波ジュニア新書　６２４	304 ﾁｭ  新書書架	ISBN: 9784-005006243 RGTN: 43661 受入日: 20090708
ピーター流生き方のすすめ	ピーター・フランクル	岩波書店, 	岩波ジュニア新書　６２５	159.7 ﾌﾗ  新書書架	ISBN: 9780-000043665 RGTN: 43662 受入日: 20090708
人類が生まれるための１２の偶然	眞　淳平．著／松井　孝典．監修	岩波書店, 	岩波ジュニア新書　６２６	440 ｼﾝ  新書書架	ISBN: 9784-005006267 RGTN: 43663 受入日: 20090708
図書館で出会える１００冊	田中　共子．著	岩波書店, 	岩波ジュニア新書　６２７	019 ﾀﾅ  新書書架	ISBN: 9784-005006274 RGTN: 43664 受入日: 20090708
数学で遊ぼう	芳沢光雄著	岩波書店, 	岩波ジュニア新書  628	410.7 ﾖｼ  新書書架	ISBN: 9784-005006281 RGTN: 43665 受入日: 20090708
インド・カレー紀行　【カラー版】	辛島　昇．著／大村　次郷．写真	岩波書店, 	岩波ジュニア新書　６２９	383.8 ｶﾗ  新書書架	ISBN: 9784-005006298 RGTN: 43666 受入日: 20090708
手話の世界を訪ねよう	亀井伸孝 著	岩波書店, 	岩波ジュニア新書 ; 630	369.2 ｶﾒ  新書書架	ISBN: 9784-005006304 RGTN: 43667 受入日: 20090708
表現する仕事がしたい!	岩波書店編集部 編	岩波書店, 	岩波ジュニア新書 ; 631	366.2 ｲﾜ  新書書架	ISBN: 9784-005006311 RGTN: 43668 受入日: 20090708
政治の精神	佐々木　毅	岩波書店, 	岩波新書　１１８９	311 ｻｻ  新書書架	ISBN: 9784-004311898 RGTN: 43669 受入日: 20090708
平和構築 : アフガン、東ティモールの現場から	東大作 著	岩波書店, 	岩波新書 ; 新赤版1190	319.8 ﾋｶﾞ  新書書架	ISBN: 9784-004311904 RGTN: 43670 受入日: 20090708
ノモンハン戦争／モンゴルと満州国	田中　克彦	岩波書店, 	岩波新書　１１９１	210.7 ﾀﾅ  新書書架	ISBN: 9784-004311911 RGTN: 43671 受入日: 20090708
イワシと気候変動／漁業の未来を考える	川崎　健	岩波書店, 	岩波新書　１１９２	663.6 ｶﾜ  新書書架	ISBN: 9784-004311928 RGTN: 43672 受入日: 20090708
脱「世界同時不況」／オバマは金融危機を克服できるか	金子　勝／アンドリュー・デウィット	岩波書店, 	岩波ブックレット　７５８	332.5 ｶﾈ  ブックレット	ISBN: 9784-000094580 RGTN: 43673 受入日: 20090708
母乳と環境／安心して子育てをするために	本郷　寛子	岩波書店, 	岩波ブックレット　７６１	493.9 ﾎﾝ  ブックレット	ISBN: 9784-000094610 RGTN: 43674 受入日: 20090708
どうしてボクには仕事がないんだろう : もう笑っちゃうしかない下流生活	フリーター薫 著	徳間書店, 		914.6 ﾌﾘ  一般書架	ISBN: 9784-198627348 RGTN: 43675 受入日: 20090708
告白 : Synchronized love. stage 1	夏木エル 著	スターツ出版, 		913.6 ﾅﾂ 1 一般書架	ISBN: 9784-883810987 RGTN: 43676 受入日: 20090708
告白 : Synchronized love. stage 2	夏木エル 著	スターツ出版, 		913.6 ﾅﾂ 2 一般書架	ISBN: 9784-883810994 RGTN: 43677 受入日: 20090709
ジブリの森とポニョの海／宮崎駿と「崖の上のポニョ」	宮崎　駿	角川書店, 		778.77 ﾐﾊ  一般書架	ISBN:  RGTN: 43678 受入日: 20090709
白いジャージ. 3 (先生とヴァージンロード)	reY 著	スターツ出版, 		913.6 ﾚｲ  一般書架	ISBN: 9784-883811007 RGTN: 43679 受入日: 20090709
時間をまきもどせ!	ナンシー・エチメンディ 作、吉上恭太 訳、杉田比呂美 絵	徳間書店, 		933.7 ｴﾁ  一般書架	ISBN: 9784-198626273 RGTN: 43680 受入日: 20090710
ダーウィンが信じた道／進化論に隠されたメッセージ	エイドリアン・デズモンド／ジェイムズ・ムーア／矢野　真千子／野下　祥子．訳	日本放送出版協会, 		289.3 ﾃﾞ  一般書架	ISBN:  RGTN: 43681 受入日: 20090710
8分音符のプレリュード	松本祐子 作	小峰書店, 	Y.A.books	913.6 ﾏﾂ  一般書架	ISBN: 9784-338144261 RGTN: 43682 受入日: 20090710
オランウータンのジプシー／多摩動物園のスーパーオランウータン	黒岩　英俊	ポプラ社, 	ポプラ社ノンフィクション　２	489.97 ｸﾋ  一般書架	ISBN:  RGTN: 43683 受入日: 20090710
オレンジ色の彼. 上	心愛 著	日本文芸社, 	[魔法のiらんど]	913.6 ｺｺ 上 一般書架	ISBN: 9784-537256826 RGTN: 43684 受入日: 20090710
オレンジ色の彼. 下	心愛 著	日本文芸社, 	[魔法のiらんど]	913.6 ｺｺ 下 一般書架	ISBN: 9784-537256833 RGTN: 43685 受入日: 20090710
ヨハネスブルクへの旅	ビヴァリー・ナイドゥー 作、もりうちすみこ 訳	さ・え・ら書房, 		933.7 ﾅｲ  一般書架	ISBN: 9784-378014777 RGTN: 43686 受入日: 20090710
奇跡のリンゴ／「絶対不可能」を覆した農家・木村秋則の記録	石川　拓治．著／ＮＨＫ「プロフェッショナル仕事の流儀」製作班．監修	幻冬舎, 		625.21 ｲﾀ  一般書架	ISBN:  RGTN: 43687 受入日: 20090710
今日の風、なに色? : 全盲で生まれたわが子が「天才少年ピアニスト」と呼ばれるまで	辻井いつ子 著	アスコム, 		916 ﾂｼﾞ  一般書架	ISBN: 9784-776201090 RGTN: 43688 受入日: 20090710
のぶカンタービレ！／全盲で生まれた息子・伸行がプロのピアニストになるまで	辻井　いつ子	アスコム, 		762.1 ﾂｲ  一般書架	ISBN:  RGTN: 43689 受入日: 20090710
そいつの名前はエメラルド	竹下　文子．作／鈴木　まもる．画	金の星社, 		913.6 ﾀｹ  一般書架	ISBN: 9784-323071435 RGTN: 43690 受入日: 20090710
月のえくぼを見た男／麻田剛立	鹿毛　敏夫．著／関屋　敏隆．画	くもん出版, 		289.1 ｶﾄ  一般書架	ISBN:  RGTN: 43691 受入日: 20090710
学問	山田詠美 著	新潮社, 		913.6 ﾔﾏ  一般書架	ISBN: 9784-103668138 RGTN: 43692 受入日: 20090710
しあわせの子犬たち	メアリー・ラバット 作、若林千鶴 訳、むかいながまさ 絵	文研出版, 	文研ブックランド	933.7 ﾗﾊﾞ  一般書架	ISBN: 9784-580820555 RGTN: 43693 受入日: 20090710
春さんのスケッチブック	依田逸夫 作、藤本四郎 絵	汐文社, 		913.6 ﾖﾀﾞ  一般書架	ISBN: 9784-811384962 RGTN: 43694 受入日: 20090710
マタギに育てられたクマ : 白神山地のいのちを守って	金治直美 文	佼成出版社, 	感動ノンフィクションシリーズ	916 ｶﾅ  一般書架	ISBN: 9784-333023523 RGTN: 43695 受入日: 20090710
風をおいかけて、海へ！	高森　千穂．作／なみへい．絵	国土社, 		913.6 ﾀｶ  一般書架	ISBN: 9784-337330665 RGTN: 43696 受入日: 20090710
崖の上のポニョ／スタジオジブリ絵コンテ全集１６	宮崎　駿／スタジオジブリ	徳間書店, 	スタジオジブリ絵コンテ全集１６	778.77 ｽ 16 一般書架	ISBN:  RGTN: 43697 受入日: 20090709
米村でんじろうのＤＶＤでわかる　おもしろ実験！！	米村　でんじろう／米村　傳治郎	講談社, 		407.5 ﾖﾃﾞ  一般書架	ISBN:  RGTN: 43698 受入日: 20090709
ロマンアルバム　崖の上のポニョ／宮崎駿作品	宮崎　駿／スタジオジブリ	徳間書店, 		778.77 ﾐﾊ  一般書架	ISBN:  RGTN: 43699 受入日: 20090709
証言記録兵士たちの戦争. 3	NHK「戦争証言」プロジェクト 著	日本放送出版協会, 		916 ﾆﾎ 3 一般書架	ISBN: 9784-140813447 RGTN: 43701 受入日: 20090720
そうだったのか！　現代史	池上　彰	集英社, 		209.7 ｲｹ 1 文庫書架	ISBN: 9784-087461411 RGTN: 43706 受入日: 20090803
そうだったのか!日本現代史	池上　彰	集英社, 	集英社文庫	210.7 ｲｹ  文庫書架	ISBN: 9784-087463859 RGTN: 43707 受入日: 20090803
余命1ケ月の花嫁	TBSテレビ報道局 編	マガジンハウス, 	マガジンハウス文庫 ; て1-1	916 ﾃｨ  文庫書架	ISBN: 9784-838770205 RGTN: 43710 受入日: 20090803
憑神	浅田次郎 著	新潮社, 	新潮文庫	913.6 ｱｻ  文庫書架	ISBN: 9784-101019246 RGTN: 43711 受入日: 20090803
博士の愛した数式	小川　洋子	新潮社, 		913.6 ｵｶﾞ  文庫書架	ISBN: 9784-104013036 RGTN: 43712 受入日: 20090803
ガンに生かされて	飯島夏樹 著	新潮社, 	新潮文庫	916 ｲｲ  文庫書架	ISBN: 9784-101303727 RGTN: 43713 受入日: 20090803
１Ｑ８４　ＢＯＯＫ１〈４月－６月〉	新潮社	新潮社, 		913.6 ﾑﾊ 1 	ISBN:  RGTN: 43714 受入日: 20090803
1Q84(イチ・キュウ・ハチ・ヨン). book 2(7月-9月)	村上春樹 著	新潮社, 		913.6 ﾑﾗ 2 一般書架	ISBN: 9784-103534235 RGTN: 43715 受入日: 20090803
別冊一枚の繪画集／百人百景／わたしの好きな風景	一枚の繪	一枚の繪, 	画集	748 ｲ  一般書架	ISBN:  RGTN: 43716 受入日: 20090905
金属材料の最前線／近未来を拓くキー・テクノロジー	東北大学金属材料研究所．編	講談社, 	ＢＬＵＥ　ＢＡＣＫＳ　１６４３	501.4 ﾄｳ  新書書架	ISBN: 9784-062576437 RGTN: 43717 受入日: 20090905
ハッブル望遠鏡で見る宇宙の驚異 : 偉大な成果をデジタル画像と傑作写真で完全網羅 : DVD-ROM &図解	ビバマンボ 小野夏子 著、渡部潤一 監修	講談社, 	ブルーバックス ; B-1645	440 ﾋﾞﾊﾞ  新書書架	ISBN: 9784-062576451 RGTN: 43718 受入日: 20090905
水とはなにか : ミクロに見たそのふるまい	上平恒 著	講談社, 	ブルーバックス ; B-1646	435.4 ｳｴ  新書書架	ISBN: 9784-062576468 RGTN: 43719 受入日: 20090905
政治のしくみがわかる本	山口　二郎	岩波書店, 	岩波ジュニア新書　６３２	312.1 ﾔﾏ  新書書架	ISBN: 9784-005006328 RGTN: 43720 受入日: 20090905
部活魂!	岩波書店編集部 編	岩波書店, 	岩波ジュニア新書 ; 633	375.1 ｲﾜ  新書書架	ISBN: 9784-005006335 RGTN: 43721 受入日: 20090905
世代間連帯	上野千鶴子 辻元清美 著	岩波書店, 	岩波新書 ; 新赤版1193	364.1 ｳｴ  新書書架	ISBN: 9784-004311935 RGTN: 43722 受入日: 20090905
新しい労働社会 : 雇用システムの再構築へ	濱口桂一郎 著	岩波書店, 	岩波新書 ; 新赤版1194	366 ﾊﾏ  新書書架	ISBN: 9784-004311942 RGTN: 43723 受入日: 20090905
「ふるさと」の発想 : 地方の力を活かす	西川一誠 著	岩波書店, 	岩波新書 ; 新赤版1195	318 ﾆｼ  新書書架	ISBN: 9784-004311959 RGTN: 43724 受入日: 20090905
国際金融入門	岩田規久男 著	岩波書店, 	岩波新書 ; 新赤版1196	338.9 ｲﾜ  新書書架	ISBN: 9784-004311966 RGTN: 43725 受入日: 20090905
贅沢の条件	山田登世子 著	岩波書店, 	岩波新書 ; 新赤版1197	383.1 ﾔﾏ  新書書架	ISBN: 9784-004311973 RGTN: 43726 受入日: 20090905
和歌とは何か	渡部　泰明	岩波書店, 	岩波新書　１１９８	911.1 ﾜﾀ  新書書架	ISBN: 9784-004311980 RGTN: 43727 受入日: 20090905
道楽三昧 : 遊びつづけて八十年	小沢昭一著 ; 神崎宣武聞き手	岩波書店, 	岩波新書  新赤版 1199	914.6 ｵｻﾞ  新書書架	ISBN: 9784-004311997 RGTN: 43728 受入日: 20090905
ガザの悲劇は終わっていない／パレスチナ・イスラエル社会に残した傷痕	土井　俊邦	岩波書店, 	岩波ブックレット　７６２	319.28 ﾄﾞﾄ  ブックレット	ISBN:  RGTN: 43729 受入日: 20090905
希望と絆／いま、日本を問う	姜　尚中	岩波書店, 	岩波ブックレット　７６３	302.1 ｶﾝ  ブックレット	ISBN: 9784-000094634 RGTN: 43730 受入日: 20090905
すてきなひとりぼっち	谷川俊太郎 詩	童話屋, 		911.5 ﾀﾆ  文庫書架	ISBN: 9784-887470842 RGTN: 43731 受入日: 20090910
だましてください言葉やさしく	永瀬清子 作	童話屋, 		911.5 ﾅｶﾞ  文庫書架	ISBN: 9784-887470811 RGTN: 43732 受入日: 20090910
ポケット俳句	田中和雄 編	童話屋, 		911.3 ﾀﾅ  文庫書架	ISBN: 9784-887470538 RGTN: 43733 受入日: 20090910
ポケット川柳	西木空人 編著	童話屋, 		911.4 ﾆｼ  文庫書架	ISBN: 9784-887470590 RGTN: 43734 受入日: 20090910
レモンとねずみ	石垣　りん	童話屋, 	童話屋文庫	911.5 ｲﾘ  文庫書架	ISBN: 9784-887470804 RGTN: 43735 受入日: 20090910
桃の花が咲いていた	山之口貘 詩	童話屋, 		911.5 ﾔﾏ  文庫書架	ISBN: 9784-887470767 RGTN: 43736 受入日: 20090910
チーム・バチスタの栄光　【上】	海堂　尊	宝島社, 	宝島社文庫	913.6 ｶｲ 上 文庫書架	ISBN: 9784-796661614 RGTN: 43737 受入日: 20090910
チーム・バチスタの栄光　【下】	海堂　尊	宝島社, 	宝島社文庫	913.6 ｶｲ 下 文庫書架	ISBN: 9784-796661638 RGTN: 43738 受入日: 20090910
ナイチンゲールの沈黙　【上】	海堂　尊	宝島社, 	宝島社文庫	913.6 ｶｲ 上 文庫書架	ISBN: 9784-796663588 RGTN: 43739 受入日: 20090910
ナイチンゲールの沈黙　【下】	海堂　尊	宝島社, 	宝島社文庫	913.6 ｶｲ 下 文庫書架	ISBN: 9784-796663601 RGTN: 43740 受入日: 20090910
草原からの使者 : 沙高樓綺譚	浅田次郎 著	徳間書店, 	徳間文庫 ; あ-28-5	913.6 ｱｻ  文庫書架	ISBN: 9784-198929077 RGTN: 43741 受入日: 20090910
菊月夜	山本　周五郎	新潮社, 	新潮文庫	913.6 ﾔﾏ  文庫書架	ISBN: 9784-101134468 RGTN: 43742 受入日: 20090910
クラッシュ : 風景が倒れる、人が砕ける	佐野　眞一	新潮社, 	新潮文庫	916 ｻﾉ  文庫書架	ISBN: 9784-101316390 RGTN: 43744 受入日: 20090910
エトロフ発緊急電	佐々木　譲	新潮社, 	新潮文庫	913.6 ｻｻ  文庫書架	ISBN: 9784-101223124 RGTN: 43745 受入日: 20090910
ベルリン飛行指令	佐々木　譲	新潮社, 	新潮文庫	913.6 ｻｼﾞ  文庫書架	ISBN: 9784-101223117 RGTN: 43746 受入日: 20090910
天ぷらにソースをかけますか? : ニッポン食文化の境界線	野瀬泰申著	新潮社, 	新潮文庫	383.8 ﾉｾ  西高100冊	ISBN: 9784-101366517 RGTN: 43747 受入日: 20090910
押入れのちよ	荻原　浩	新潮社, 	新潮文庫	913.6 ｵｷﾞ  文庫書架	ISBN: 9784-101230344 RGTN: 43748 受入日: 20090910
警察小説競作　鼓動	新潮社．編／大沢　在昌／今野　敏／白川　道／ほか	新潮社, 	新潮文庫	913.6 ｼﾝ  文庫書架	ISBN: 9784-101208459 RGTN: 43749 受入日: 20090910
警察小説競作　決断	新潮社．編／	新潮社, 	新潮文庫	913.6 ｼﾝ  文庫書架	ISBN: 9784-101208466 RGTN: 43750 受入日: 20090910
オバマ・ショック	越智　道雄／町山　智浩	集英社, 	集英社新書	302.5 ｵﾁ  新書書架	ISBN: 9784-087204773 RGTN: 43751 受入日: 20090910
クラウド・コンピューティング／ウェブ２．０の崎にくるもの	西田　宗千佳	朝日新聞出版, 	朝日新書　１５４	007.3 ﾆｼ  新書書架	ISBN: 9784-022732545 RGTN: 43752 受入日: 20090910
予想どおりに不合理／行動経済学が明かす「あなたがそれを選ぶわけ」	ダン・アリエリー／熊谷　淳子．訳	早川書房, 		331.04 ｱ  一般書架	ISBN:  RGTN: 43753 受入日: 20090910
細野真宏の数学嫌いでも「数学的思考力」が飛躍的に身に付く本！	細野　真宏	小学館, 		330 ﾎﾏ  一般書架	ISBN:  RGTN: 43754 受入日: 20090910
海外旅行「知らなかった」ではすまされない話 : 各国の観光地には「エッ!」と驚く"禁止事項"がいっぱい!!	ロム・インターナショナル．編	河出書房新社, 	夢文庫	290.9 ﾛﾑ  文庫書架	ISBN: 9784-309497129 RGTN: 43755 受入日: 20090917
宇宙の果てまで／すばる大望遠鏡プロジェクト２０年の軌跡	小平　桂一	早川書房, 	早川文庫	442.3 ｺﾀﾞ  文庫書架	ISBN: 9784-150503086 RGTN: 43756 受入日: 20090917
レボリューショナリー・ロード／燃え尽きるまで	リチャード・イエーツ／青木　千鶴．やく	早川書房, 	早川文庫	933.7 ｲｴ  文庫書架	ISBN: 9784-150411886 RGTN: 43757 受入日: 20090917
身体から革命を起こす	甲野　善紀／田中　聡	新潮社, 	新潮文庫	789 ｺｳ  文庫書架	ISBN: 9784-101326511 RGTN: 43758 受入日: 20090917
ビューティフル・ネーム	鷺沢　萌	新潮社, 	新潮文庫	913.6 ｻｷﾞ  文庫書架	ISBN: 9784-101325217 RGTN: 43759 受入日: 20090917
漱石、ジャムを舐める	河内一郎 著	新潮社, 	新潮文庫	910.2 ｺｳ  文庫書架	ISBN: 9784-101336510 RGTN: 43760 受入日: 20090917
翳りゆく時間（かげりゆくとき）	浅田　次郎．選／日本ペンクラブ．編	新潮社, 	新潮文庫	913.6 ｱｻ  文庫書架	ISBN: 9784-101019239 RGTN: 43761 受入日: 20090917
四日のあやめ	山本　周五郎	新潮社, 	新潮文庫	913.6 ﾔﾏ  文庫書架	ISBN: 9784-101134284 RGTN: 43762 受入日: 20090917
二人が睦まじくいるためには	吉野弘 詩	童話屋, 		911.5 ﾖｼ  文庫書架	ISBN: 9784-887470378 RGTN: 43763 受入日: 20090917
芥川賞を取らなかった名作たち	佐伯　一麦	朝日新聞出版, 	朝日新書　１５８	910.2 ｻｴ  新書書架	ISBN: 9784-022732583 RGTN: 43764 受入日: 20090917
４つのノーベル賞／発想の源泉・努力の軌跡	ＮＨＫ取材班	日本放送出版協会, 		402.8 ｴ  一般書架	ISBN:  RGTN: 43765 受入日: 20090917
そして戦争は終わらない／「テロとの戦い」の現場から	デクスター・フィルキンス／有沢　善樹．訳	日本放送出版協会, 		302.27 ﾌ  一般書架	ISBN:  RGTN: 43766 受入日: 20090917
